tz,population,male,female,age_under_14,age_15_29,age_30_54,age_55_over,white,black,asian,others,two_or_more,less_high_school,high_school,college,bachelor,graduate,median_income_households,median_income_families,median_income_nonfamily,mean_income_households,mean_income_families,mean_income_nonfamily,percent_below_poverty,unemployment_rate,percent_uninsured,mean_price_per_sqft,median_price_per_sqft,citibike_spatial,mobile-device_spatial,sr311_spatial,subway_spatial,taxi_spatial,twitter_spatial
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,383102,0,0,95418,1546
2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,6348,0,0,73,44
3,32450,15235,17215,16.35185641,20.03341,34.41950874,29.19522485,31.95993837,35.18952234,8.311248074,21.49460709,3.044684129,20.7484586,26.07117771,28.83009444,14.75454616,9.595723094,58999.68659,68423.31443,31895.21299,78914.24493,86548.96324,42915.01299,13.46737134,10.04511556,8.402711864,318.6917868,315.1041667,0,109300,700,225527.5,31960,480
4,27571,12546,15025,12.03267462,24.91056304,38.00778519,25.04897715,40.20166117,13.77897066,14.18519459,27.41648834,4.417685249,21.63792735,21.19721022,20.14890249,27.56835394,9.447606007,43150.42329,45648.73956,44695.58889,67117.32603,71106.79636,63049.39407,31.59088898,9.031957492,8.955406043,,,31545,179644,399,0,178515,85
5,26482,13082,13400,18.40016589,17.31689434,36.13318257,28.14975719,89.06427007,1.771014274,6.532739219,1.291443244,1.340533192,7.779129166,30.06081245,30.16784237,21.50328387,10.48893213,87056.58911,95815.28951,30256.87243,101280.5935,109982.1953,59388.70938,6.945072124,5.503406087,3.673850162,289.5525911,276.1627907,0,56271,490,0,3667,40
6,15896,7362,8534,18.70913495,19.24445097,33.42263241,28.62378166,74.06894816,6.831907398,12.83341721,4.497986915,1.767740312,11.69210783,26.41279636,25.94186424,21.92270218,14.03052939,73153.69712,83524.10317,36179.0533,87520.10072,97957.84669,52072.9547,12.47815174,7.954321842,7.727484902,374.5130766,357.3214286,0,147674,255,0,7456,88
7,77252,37588,39664,10.91525689,25.50872426,41.76588844,21.81013041,64.90187956,5.00699011,16.78920934,9.86770569,3.434215295,14.68229854,19.17028561,19.69348886,30.9623679,15.49155909,60065.40769,64176.53591,56695.89673,76137.93562,80829.94899,70406.80532,14.81164759,7.161387407,14.30628074,496.8037012,501.8382353,0,508255,1389,3336898,362180,2294
8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,25315,6,0,2900,124
9,20609,10181,10428,16.025799,16.58622389,35.04453613,32.34344098,43.78669513,1.344072978,46.66893105,3.741083992,4.459216847,13.68540263,24.61703523,25.42170829,21.7500149,14.52583895,77457.43736,83156.01281,49445.13505,92044.95012,101447.0196,58063.06568,6.281673055,6.137391431,10.18967441,547.856526,548.4969054,0,159111,377,0,16753,123
10,39079,18449,20630,19.3281773,23.28697077,35.31188578,22.07296615,5.066659843,73.78899153,5.504235011,12.89695233,2.743161289,16.86751021,34.42123586,33.06888934,10.71835041,4.924014193,61966.78316,67835.47714,31399.63703,74778.57843,79173.67819,48251.37198,14.0020804,10.614962,10.49557563,304.2321582,300.7463102,0,321007,863,0,52272,267
11,33163,16686,16477,17.94820482,18.79697537,36.24401611,27.0108037,51.34939541,1.64942858,36.45629165,9.064318668,1.480565691,21.92248657,25.70606293,19.7390637,22.40982348,10.22256332,60655.59372,69765.8282,26299,75950.31939,85668.2733,46347.87581,14.34505624,6.961188674,10.62125863,532.2065877,528.7054639,0,241014,605,307178.5,22630,44
12,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,6324,31881,26,0,26225,112
13,15935,8054,7881,22.23019157,12.02998323,51.33192443,14.40790077,74.15123941,1.468465642,19.25949168,1.725760904,3.39504236,1.115518096,3.801024624,9.552140142,43.42257478,42.10874236,169898.95,232943.2145,119024.7728,239887.367,296387.3011,173246.9469,5.30215877,3.374659554,3.418864136,,,86660,159019,157,0,360070,119
14,79134,37829,41305,16.49103917,18.61054909,37.05855656,27.83985518,71.92736371,2.172264766,14.6169788,8.110293932,3.173098794,13.55116831,19.53486193,22.36817443,27.07266025,17.47313507,62743.19366,79156.49876,47205.39678,86318.90973,104330.2013,61292.01787,15.54544191,7.439400258,8.779915081,545.6885079,546.9417735,0,570900,1909,2017773,128208,744
15,21945,10199,11746,13.05888361,12.8747731,33.61744052,40.44890277,68.7309182,1.594896332,22.22829802,5.181134655,2.264752791,9.189102047,22.58584556,23.3865334,26.04116288,18.79735612,75197.80067,94019.33322,51700.97119,92041.18999,108463.0529,66759.24897,7.104875826,6.113119162,3.847391205,543.4372887,537.8787879,0,139605,201,0,17753,405
16,44864,21722,23142,15.01098612,17.5211203,35.5061948,31.96169878,49.11064551,1.763106277,42.19864479,4.384361626,2.543241797,10.70490368,22.19242557,26.35726795,25.08756567,15.65783713,81898.69661,88119.97061,55718.88559,97748.67785,107125.1571,68426.16828,7.322363142,6.023687143,9.090096737,541.4923872,541.3812785,0,458862,726,0,43775,542
17,75318,36491,38827,25.81600218,26.2739405,32.0485637,15.86149361,41.39116811,44.63474867,3.094877718,7.992777291,2.886428211,20.54817809,26.35108332,22.94149871,20.22705378,9.932186101,42492.02897,46805.29635,36938.22103,62615.93545,68176.38714,52358.77845,34.35060012,12.24396426,8.902814732,521.7375185,514.8148148,30974,311910,1735,1688664,262720,2624
18,55995,26934,29061,22.63692385,24.5735918,34.45251851,18.33696584,15.17992678,19.84462898,4.08429324,56.12643986,4.764711135,30.99368123,29.67137525,26.35829125,9.802629974,3.174022299,33968.90126,35783.42495,25340.83806,46891.87136,48826.58158,38376.47088,33.49203679,14.89155817,14.46429503,188.4087844,163.8602724,0,480999,1499,1808960,69682,460
19,26916,13117,13799,18.01039419,20.78295676,32.76614985,28.4404992,38.80962996,7.047852578,41.84128399,9.113538416,3.187695051,11.10901724,30.38726091,26.77847922,19.66927353,12.05596909,70464.73889,87308.88445,37650.27438,87757.78589,99407.17429,48883.54631,11.61775895,5.650936246,8.516257988,407.5257734,402.2988506,0,126534,470,0,12754,55
20,29372,14071,15301,22.76835431,36.31125478,28.49001844,12.43037246,27.60111671,16.82554814,1.909982296,50.87838758,2.784965273,26.331682,27.25171031,34.78650625,7.747110167,3.882991272,25535.26481,27862.7925,18744.65112,35447.45371,36290.9691,31872.99506,44.94536634,13.64173362,15.76185142,214.169391,188.7432996,0,330869,628,0,46469,464
21,64267,31283,32984,16.51662931,19.58233002,35.47048164,28.43055903,51.59257473,1.093873994,38.76639644,7.212099522,1.335055316,23.80471511,26.9584806,19.91299957,20.63152989,8.692274828,48419.52801,55755.27458,19425.67197,65715.1257,73061.94046,40483.34884,19.29637294,8.566552041,11.43246456,517.7325269,519.4020955,0,577200,1045,2493896.5,51106,142
22,91646,44651,46995,17.68067309,20.16307932,35.57768062,26.57856697,48.76481243,0.980948432,40.76991904,8.323331078,1.160989023,26.53887614,27.57677106,20.36125929,18.91152326,6.611570248,50830.11495,57072.76342,35753.29863,70198.33157,75552.16352,49664.86517,18.26464876,8.818352138,12.0050586,505.4666981,524.1935484,0,474066,1477,1482998,63221,232
23,40866,19498,21368,18.08961373,18.65185955,32.13562217,31.12290455,74.64640532,5.569422013,15.23760583,2.407869623,2.138697206,10.93540019,31.6842204,28.47454449,17.92668063,10.9791543,76892.95435,89241.46207,27247.71289,93660.18733,104817.6953,47348.35661,9.799755298,6.163184554,5.383514413,337.26442,329.1171542,0,538082,767,0,19958,218
24,16699,7620,9079,15.13715095,24.11033432,35.94117069,24.81134404,60.95574585,9.725133242,10.17426193,12.74327804,6.401580933,11.79972742,13.82253784,14.48963489,31.5328886,28.35521125,74954.82118,109966.0101,42701.41669,117026.0327,171047.2532,72370.66268,21.20004791,9.455434457,7.479639499,606.2912653,580.1585767,13482,81024,380,1441439,100407,458
25,23149,10914,12235,13.78197783,22.02196447,43.90137463,20.29468307,57.03918096,18.37660374,7.987386064,11.94868029,4.648148948,13.39717846,13.33539285,14.40634332,31.97405005,26.88703532,96573.38908,113721.9904,81308.91678,134085.4333,163310.6442,102948.0725,14.64936714,8.157453886,7.080858784,563.4772532,564.1492362,32071,165714,565,1598708,192906,134
26,105913,54032,51881,34.01217598,22.82942595,24.38322304,18.77517503,78.94120646,1.14811213,12.924759,6.130503338,0.85541907,26.03281342,37.13147162,18.75719934,11.60300115,6.475514461,37701.68445,39743.84966,21415.46966,59061.67088,61258.60633,41736.49068,38.28055668,5.684739362,8.33334907,492.7551638,497.1590909,0,628851,1378,1053778,78818,68
27,3935,1906,2029,19.68460512,14.7884343,27.17874412,38.34821647,96.13722999,0.330368488,0.254129606,2.973316391,0.304955527,3.857665447,19.32158297,31.29364815,26.17226472,19.35483871,100707.0474,123902.6077,53142,120251.8532,135472.2085,82803,4.292350699,4.991105464,1.796797967,,,0,68858,36,0,5710,64
28,42224,20596,21628,15.52519726,21.86690348,36.74156346,25.8663358,25.788651,12.47158014,39.64569913,17.15375142,4.940318302,16.37812746,21.11347911,25.76416664,24.36866844,12.37555835,63814.85682,70188.51708,54581.68096,75837.16771,82706.36049,58702.08657,15.54915925,10.49378789,15.48979017,367.3698793,367.2930743,0,376647,570,666112,44496,219
29,34157,16234,17923,15.83960466,16.08751628,32.26124982,35.81162924,76.04883333,0.986620605,14.99546213,5.255145358,2.713938578,12.93623438,24.62300732,23.41304036,25.57446503,13.45325291,35372.12166,59574.96155,15361.57165,61590.24771,81989.528,29996.9259,26.88196563,8.000146383,11.16046198,431.8524095,423.182421,0,220210,616,1933036,42213,32
30,2314,1147,1167,22.12212212,13.81381381,37.13713714,26.92692693,96.02420052,0.518582541,0.216076059,0,3.241140882,12.68011527,34.17867435,31.23919308,11.75792507,10.14409222,77958,101250,57308,95232,111161,62812,10,6.7,2.9,276.9897657,271.3877071,0,14224,57,20394,856,14
31,1468,711,757,20.2,19.2,37.2,23.4,28.40599455,27.52043597,1.566757493,42.50681199,0,22.41835834,23.56575463,27.09620477,20.91791703,6.001765225,45833,50577,31400,53849,54866,50070,20.7,9.7,12.4,,,0,146750,26,0,16413,642
32,37595,18693,18902,19.10964741,23.10713718,33.59336918,24.18984623,25.58850911,31.34725362,3.24777231,35.43290331,4.383561644,27.75418609,27.93026066,28.49991369,10.67495253,5.140687036,36126.20951,41948.36607,19930.17598,46315.21851,51933.03062,31206.15959,27.72277165,14.11307887,15.00389945,248.3037864,229.836977,0,246754,856,550368.5,35801,105
33,24140,12002,12138,12.1500539,20.48946585,43.72721658,23.63326367,76.65700083,5.343827672,9.776304888,3.04059652,5.182270091,3.210657466,10.14951121,14.50067088,34.9626222,37.17653824,113350.0447,176025.9113,79445.03116,178252.0607,261834.1817,112111.6981,10.11103148,3.777638774,6.74046396,769.1192236,795.0592885,39943,189809,363,8388910.5,211080,234
34,351,213,138,15.41541542,17.11711712,61.56156156,5.905905906,62.96296296,4.273504274,7.977207977,19.37321937,5.413105413,2.02020202,23.23232323,12.12121212,42.76094276,19.86531987,119250,110859,91500,146335,145755,125956,1.4,9.4,16.8,,,7086,38944,43,0,23389,36
35,60124,25026,35098,23.31203293,23.62723521,32.92766909,20.13306278,5.852903998,81.28867008,1.619985364,9.363981106,1.87445945,27.12522694,35.82147864,26.95975915,7.54027532,2.553259945,27266.53944,33745.8597,14949.75377,37892.24044,44810.65925,23005.72234,40.20502295,15.96429379,9.897076043,223.1503237,213.0102041,0,531640,1222,1046992,103711,547
36,60834,31025,29809,19.03634641,30.62219149,37.03770096,13.30376115,50.34684551,20.55265148,6.774172338,19.25239175,3.073938916,36.30188036,20.3709619,20.47530825,17.99655018,4.855299304,47274.06846,39350.50906,48475.47146,62341.21201,55756.44944,63556.9774,30.06732913,12.65294572,25.48663576,370.4299732,340,0,362731,2071,2477464,228770,2540
37,75003,36743,38260,17.96827407,29.98004578,33.21413341,18.83754673,37.34783942,35.4825807,3.510526246,20.14719411,3.511859526,27.7892632,24.68650444,23.09360808,19.53162069,4.899003592,40798.61289,42759.02652,29020.32054,56696.57122,55303.94744,53293.48077,27.36370945,13.0441089,17.23204405,408.8113615,379.7727273,6681,494820,2270,1356872,304170,2187
38,19546,8823,10723,13.91805479,17.8448425,33.54894371,34.688159,2.133428835,92.56625397,0.706026809,2.435280876,2.159009516,9.143460965,27.27498757,34.51019393,17.80830433,11.26305321,83334.96991,93019.09515,35214.45442,94176.79428,103956.6417,53679.84544,3.859475084,6.896188478,8.98219073,319.0051202,321.9632849,0,144486,418,0,14803,109
39,88367,38868,49499,18.54012513,22.31875192,33.74340791,25.39771504,6.013557097,86.60812294,2.839295212,3.483200742,1.055824007,14.21414236,28.45172348,33.32405549,16.36025372,7.649824942,63488.43572,71143.62294,27303.73537,76268.44367,83213.68952,45855.04248,14.71067933,8.73747666,9.253161248,328.2283173,304.0587204,0,852492,1714,784800.5,155866,504
40,16896,8149,8747,15.92348595,12.69686186,49.81816472,21.56148748,83.2327178,1.160037879,6.812263258,4.036458333,4.758522727,5.213893967,12.97989031,9.63071298,38.59597806,33.57952468,125260.5108,156633.5557,87226.32337,175358.8023,218736.2754,110947.5964,5.19818892,5.432960464,5.407664536,766.2078011,819.4444444,22888,48381,341,1277410,93723,86
41,50095,23624,26471,17.87339844,22.41439815,39.41341354,20.29878987,25.46361912,55.90777523,5.232059088,9.953089131,3.443457431,16.6893287,21.30482953,20.30518205,22.82570378,18.87495593,54766.08634,66343.85518,41994.42379,87913.70864,103576.9379,70304.12023,27.27910969,7.638001797,8.585934724,561.3365501,527.8778987,0,566658,1321,2685594,315020,4342
42,85872,39882,45990,19.07384231,24.13340702,36.84873093,19.94401973,14.28870878,66.03665921,2.092649525,12.62926216,4.952720328,20.90151696,25.06718825,25.0642021,17.96165791,11.00543478,37379.40305,43680.20856,32820.34703,57737.88094,58955.39261,54431.95012,29.49928265,14.77483347,11.67822224,536.943522,535.7385474,0,952402,2177,1729912,285520,1302
43,5,0,5,20,40,40,0,40,40,0,0,20,25,75,0,0,0,,,,,,,75,0,0,,,120022,234050,125,2026073,361080,9928
44,24794,12202,12592,20.26683404,20.53283685,37.38409588,21.81623322,89.2998306,1.314834234,4.864080019,2.714366379,1.806888763,7.920792079,30.14121084,30.82291836,22.00941406,9.105664665,85830.40002,100547.0508,45582.50054,110586.9743,125846.7532,54405.39505,6.15619908,6.117964024,5.857078325,305.1060533,298.6111111,0,86353,505,0,4910,240
45,22120,11235,10885,10.52406377,18.08300416,37.34031318,34.05261889,13.15551537,10.49276673,67.72603978,5.433996383,3.191681736,40.63881808,23.74759403,12.55267128,16.12651511,6.934401498,29235.66838,36296.06201,17956.61715,47110.91462,54518.75972,34624.9872,26.67339512,10.04283454,7.194552441,,,30793,405117,277,7334300,123107,133
46,4034,1864,2170,16.03206413,12.9258517,34.16833667,36.87374749,76.05354487,0.669310858,5.08180466,17.82350025,0.371839365,9.198903442,28.44958879,27.32257082,18.9460859,16.08285105,80396,111982,40167,91516,120602,60671,4.2,11.3,8.3,367.7905044,357.0176598,0,271228,123,0,4476,165
47,34815,15895,18920,28.60014123,25.48102366,31.26903931,14.6497958,7.281344248,43.42093925,0.048829528,47.15496194,2.093925032,34.70371669,27.27910238,27.60343619,8.397615708,2.016129032,21645.32888,23320.80788,11519.49447,30996.7806,31883.50763,23332.23516,49.64911963,16.82030159,9.581418929,184.3209003,169.5583596,0,267764,661,0,43678,212
48,31550,17509,14041,4.004501402,24.90525501,45.66079556,25.42944803,67.87321712,5.866877971,16.66877971,6.28526149,3.305863708,5.546117718,8.883781353,15.14606442,46.39419073,24.02984577,81940.99791,126114.7228,73004.52143,113157.8356,169310.9935,97941.53867,11.45244374,6.150792393,6.9237813,694.7258326,688.4992264,94364,481542,750,8002350,924550,5052
49,38655,18140,20515,16.61443814,26.10691255,38.30120349,18.97744583,43.8960031,40.77868322,6.392445997,4.506532143,4.426335532,7.335219866,15.56707259,24.83227878,31.92903246,20.3363963,72045.40356,87202.09946,60056.29499,96049.99766,120316.3625,72022.70994,17.42893287,8.224382357,7.856417022,622.8235342,647.7848101,31630,212768,1121,1296204,223330,242
50,12743,6942,5801,6.833162465,24.61636528,45.48575497,23.06471728,67.77838813,9.770069842,15.82829789,4.904653535,1.718590599,7.242530605,12.05376252,14.27103844,37.87346974,28.5591987,90180.57385,85449.76131,88388.75377,131508.4943,166306.767,120558.0151,15.61837087,4.882986738,7.802715216,,,23861,230424,345,0,352090,2724
51,48541,20806,27735,14.56942993,18.66537445,30.95826038,35.80693524,14.05203848,64.39504749,1.166024598,16.11421273,4.272676706,14.48915632,27.03522628,35.63745769,13.97517864,8.862981071,45898.12956,58489.54991,33971.68425,58997.10208,73001.77118,38831.50181,10.73523413,11.22565872,5.774804804,269.7522393,253.968254,0,583238,332,184937,49692,568
52,9931,4867,5064,16.20748655,13.6424732,45.16898859,24.98105166,83.18396939,4.239250831,5.064948142,3.091330178,4.42050146,6.376740777,6.889811874,9.369655509,36.23259223,41.13119961,133343.079,171153.9852,96974.19558,178818.5583,219787.8557,119413.424,4.58917531,4.16498842,3.834306716,812.1327781,875,8948,21792,133,0,54431,30
53,25875,12841,13034,18.76425212,20.53954471,34.42815997,26.2680432,34.34202899,2.338164251,32.75362319,27.09565217,3.470531401,22.00080112,33.68215502,25.55077108,13.59403164,5.172241138,55732.50204,59207.70203,35097.67427,73641.30374,79266.7689,49894.18674,13.95116135,6.371180676,17.70894686,443.3205091,423.8023738,0,232881,640,0,27737,292
54,4534,2249,2285,23.14367894,10.03718374,52.36059847,14.45853886,72.3423026,9.814733127,5.491839435,6.175562417,6.175562417,9.43287037,8.738425926,16.63773148,30.06365741,35.12731481,98585.60575,117601.6055,76707.20972,124442.0842,149664.5249,83391.79156,6.883458315,7.582576092,3.697617997,543.1689138,537.2807018,12445,59980,115,0,22316,17
55,45431,20220,25211,15.45403875,17.75759571,27.20237743,39.58598811,60.29803438,21.18157205,7.241751227,8.672492351,2.606149986,18.86512181,25.10668179,24.218117,19.3620699,12.44800951,36503.28284,50460.93265,16532.29765,54475.12008,68942.76736,30628.33131,26.5660166,14.94197134,7.820006163,299.5677711,295.3808131,0,510243,676,1995634,58027,3270
56,54453,28556,25897,21.80967876,21.67873571,34.80244531,21.70914022,44.07287018,18.36813399,15.08089545,20.38455182,2.093548565,30.21194414,31.7445776,22.94493414,11.15925522,3.939288898,45521.57559,47581.00734,27706.66554,55319.01185,57005.9589,37481.58446,21.43344903,5.814967036,22.3418269,417.827653,408.6487849,0,498694,716,0,62781,206
57,4173,2177,1996,25.5489022,27.34530938,35.72854291,11.37724551,50.03594536,7.500599089,7.18907261,33.50107836,1.773304577,35.73635427,35.1184346,18.26295915,8.85684861,2.025403364,51615,46684,43646,62628,55423,45240,12,7,29,371.8814045,345.6597898,0,32587,71,729832,4730,68
58,8099,3805,4294,13.02130749,15.06456438,33.19557689,38.71855125,84.09680207,0.876651438,3.469564144,7.852821336,3.704161008,14.66301054,32.77529225,27.81065089,16.39486217,8.356184154,77911.42857,89529.35878,44354.89085,93555.68831,108615.1565,54935.72547,9.8527596,6.886294604,4.132534881,353.4791663,337.9062273,0,41102,181,0,4225,31
59,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,18294,7,0,2961,70
60,21745,9555,12190,24.33087998,23.78587828,31.30388827,20.57935346,9.947114279,33.73189239,1.103702,52.78914693,2.428144401,35.2690226,27.33524355,24.53358803,10.76090417,2.101241643,22456.75256,28581.12214,11403.93837,38334.88491,42301.24144,25706.58166,41.36227639,15.76470453,11.72386296,190.3873403,176.9713262,0,339001,483,1979348,29070,151
61,107134,48201,58933,16.83228244,26.00869484,36.0197844,21.13923833,17.05620998,69.76310042,3.138126085,6.958575242,3.083988276,18.27850839,27.18095171,24.17351244,20.01903889,10.34798858,42335.49872,45908.20023,37510.66315,58756.52706,63226.05043,50856.9803,27.76582691,9.551469188,12.69684227,436.4849999,414.0555058,3131,1067817,3553,4817626,413210,1317
62,41962,19724,22238,20.26970461,25.25525509,32.32777099,22.14726931,30.53238644,63.45026453,1.317859015,3.090891759,1.608598256,14.09518417,26.14576452,31.0465226,17.88871064,10.82381806,46339.46724,51404.28798,34348.69425,60471.83468,67568.59837,46249.55557,20.12671226,12.27171965,12.07155045,456.508968,439.516129,0,190936,1177,378248,100563,272
63,48899,23499,25400,20.73713934,25.60062723,35.38985818,18.27237525,36.32589624,31.39328003,8.07378474,21.58939856,2.617640443,25.70957096,40.3080308,22.16171617,8.666116612,3.154565457,45590.19655,48840.24735,19031.02819,57212.75987,60489.43771,35204.13901,25.62699237,7.930440295,12.25473732,264.5082376,263.4259259,0,222322,1630,795578,53961,136
64,25775,11928,13847,15.81292772,16.10926368,32.63945513,35.43835347,54.15324927,2.052376334,37.46265761,2.805043647,3.526673133,7.438333813,19.46923889,25.94298877,27.42585661,19.72358192,86054.36679,97520.01904,48276.49646,103424.1728,120175.8354,62836.15221,7.569807953,5.328337536,6.835115422,555.0418856,533.7171053,0,217355,433,0,14298,178
65,10079,5059,5020,12.47723698,26.57858434,45.4629514,15.48122728,47.96110725,19.38684393,18.34507392,10.55660284,3.750372061,8.316946212,15.06072874,17.61711972,34.60960093,24.3956044,100058.7503,105120.2493,94937.55379,128687.0117,147176.7079,108872.9029,24.81246155,7.256116678,8.275801171,,,31386,283167,218,3863406,187735,178
